wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (182456.04130000015720725 2496838.08470000047236681),E0000005586,9960103,,高雄捷運高雄國際機場站_出入口4,高捷高雄國際機場站_出入口4,202205,,,TM2
Point (182315.49830000085057691 2496844.16530000045895576),E0000005589,9960103,,高雄捷運高雄國際機場站_出入口3,高捷高雄國際機場站_出入口3,202205,,,TM2
Point (182278.77669999975478277 2496845.32549999980255961),E0000005588,9960103,,高雄捷運高雄國際機場站_出入口5,高捷高雄國際機場站_出入口5,202205,,,TM2
Point (182251.02950000012060627 2496846.89550000010058284),E0000005587,9960103,,高雄捷運高雄國際機場站_出入口7,高捷高雄國際機場站_出入口7,202205,,,TM2
Point (182506.91690000065136701 2496878.64869999978691339),E0000005591,9960103,,高雄捷運高雄國際機場站_出入口2,高捷高雄國際機場站_出入口2,202205,,,TM2
Point (182314.48370000050636008 2496938.70450000138953328),E0000005590,9960103,,高雄捷運高雄國際機場站_出入口6,高捷高雄國際機場站_出入口6,202205,,,TM2
Point (180971.0387000004411675 2497874.23469999944791198),E0000005592,9960103,,高雄捷運草衙(高雄捷運公司)站_出入口1,高捷草衙站_出入口1,202205,,,TM2
Point (180965.13289999857079238 2497941.93129999935626984),E0000005853,9960103,,高雄捷運草衙(高雄捷運公司)站_R4A,高捷草衙站_R4A,202205,高雄市前鎮區翠亨南路555號,,TM2
Point (180936.70930000094813295 2497960.1230999999679625),E0000005599,9960103,,高雄捷運草衙(高雄捷運公司)站_出入口3,高捷草衙站_出入口3,202205,,,TM2
Point (180896.84509999959846027 2498011.7580999992787838),E0000005600,9960103,,高雄捷運草衙(高雄捷運公司)站_出入口4,高捷草衙站_出入口4,202205,,,TM2
Point (181017.98830000014277175 2498025.19929999997839332),E0000005598,9960103,,高雄捷運草衙(高雄捷運公司)站_出入口2,高捷草衙站_出入口2,202205,,,TM2
Point (180262.92050000111339614 2498801.79430000018328428),E0000005593,9960103,,高雄捷運前鎮高中站_出入口1,高捷前鎮高中站_出入口1,202205,,,TM2
