路段序號,自行車道路線編號,路段名稱,路段起點描述,路段迄點描述,縣市別,鄉鎮別,管養單位,所屬道路寬度（M）,自行車道車行方向,自行車道類型,自行車道鋪面類別,自行車道長度（M）,自行車道寬度（M）,自行車道道路結構,補助經費（百萬元）,補助機關,完工日期,路徑（X）,路徑（Y）,備註
TP2062,,民權西路至民權東路5段(雙側),延平北路2段,塔悠路,台北市,,臺北市政府,40,1,5,,11460,2,,0,,1021231,"301610.104,301581.142,301582.701,301846.491,301942.539,302302.359,302337.579,302392.673,302483.287,302663.908,303023.617,304458.033,304859.084,304903.349,305158.051,305285.998,305536.001,305612.112,305890.424,306201.57,306609.951,306972.337,307130.847,307275.031,307318.619,307314.208,307193.425,306993.409,306873.409,306598.858,306145.493,306002.261,305869.943,305692.876,305603.222,305527.627,305337.275,305286.381,305235.623,305136.232,304964.799,304861.693,304772.803,304414.93,303703.576,303360.317,303013.798,302313.238,301963.001,301802.467,301612.83","2772862.381,2772863.822,2772825.17,2772836.804,2772837.169,2772827.688,2772825.608,2772823.826,2772820.629,2772814.679,2772808.318,2772778.743,2772779.021,2772760.811,2772749.322,2772745.962,2772699.569,2772690.574,2772728.819,2772756.238,2772814.196,2772868.319,2772890.914,2772913.229,2772912.637,2772954.045,2772933.268,2772896.099,2772880.866,2772837.301,2772775.834,2772766.717,2772753.325,2772728.011,2772718.119,2772724.347,2772765.222,2772775.982,2772778.103,2772780.802,2772784.431,2772807.609,2772808.36,2772809.476,2772823.826,2772828.904,2772842.618,2772858.634,2772868.816,2772872.414,2772861.837",
TP2063,,民權東路6段(南北側),行愛路,民權隧道,台北市,,臺北市政府,25,1,5,,5180,2,,0,,1021231,"310751.32,310705.738,310648.338,310588.777,310573.579,310548.597,310482.741,310454.07,310426.485,310045.321,310005.192,309939.26,309833.82,309615.459,309243.652,308930.631,308713.515,308539.251,308451.078,308364.907,308374.991,308453.693,308532.242,308702.359,308911.204,308963.691,309114.777,309309.821,309449.568,309611.017,309833.414,309957.635,310005.707,310062.503,310142.089,310222.866,310274.736,310328.225,310433.176,310478.606,310538.614,310569.87,310629.702,310788.177,310749.105","2773524.422,2773451.776,2773382.401,2773344.918,2773336.654,2773327.903,2773322.183,2773326.265,2773335.78,2773518.859,2773536.073,2773547.747,2773550.385,2773558.734,2773566.086,2773534.269,2773464.767,2773377.176,2773329.056,2773307.863,2773285.531,2773307.357,2773341.146,2773431.267,2773500.511,2773518.24,2773528.863,2773546.103,2773542.613,2773536.45,2773527.787,2773521.797,2773510.71,2773488.916,2773446.843,2773409.095,2773383.514,2773356.834,2773305.68,2773299.125,2773304.043,2773308.613,2773330.478,2773494.568,2773523.304",
TP2064,,汀州路2段,泉州街,汀州路2段6巷,台北市,,臺北市政府,15,1,5,,180,2,,0,,1021231,"301869.179,302047.477","2768775.287,2768730.662",
TP2065,,汀州路4段（東側）,羅斯福路5段170巷,汀州路4段105巷,台北市,,臺北市政府,12,1,5,,220,2,,0,,1021231,"304079.736,304093.758,304110.918,304129.497,304152.323","2766416.212,2766469.657,2766520.456,2766569.932,2766617.652",
TP2066,,玉成公園周邊,玉成街,中坡南路,台北市,,臺北市政府,12,1,5,,955.68,2,,0,,1021231,"309203.825,309242.815,309280.524,309179.302,309124.351,309081.714,308977.703,308896.484,309034.814,309078.355,309096.074,309112.131,309122.023,309131.806,309141.581,309201.202","2770675.964,2770597.266,2770534.734,2770513.471,2770526.082,2770514.932,2770578.617,2770645.503,2770719.65,2770661.685,2770647.916,2770644.994,2770644.483,2770645.523,2770648.777,2770675.952",
TP2067,,玉門街,敦煌路,庫倫街,台北市,,臺北市政府,20,1,5,,331,2,,0,,1021231,"302498.824,302519.76,302572.234","2773843.183,2774012.848,2774166.353",
TP2068,,石牌國小周遭,致遠二路,石牌路1段,台北市,,臺北市政府,15,1,5,,1020,2,,0,,1021231,"301903.165,301657.9,301599.052,301604.332,301626.358,301659.095,301749.579,301830.642,301909.093","2778618.314,2778511.487,2778658.252,2778728.832,2778771.007,2778807.795,2778881.357,2778753.95,2778624.318",
TP2069,,石牌路2段(南側),90巷,天母西路,台北市,,臺北市政府,15,1,5,,628,2,,0,,1021231,"302086.699,302100.687,302300.888,302314.277,302330.293,302364.693,302401.933,302427.361,302443.096,302469.603,302520.276,302570.429,302632.855","2778859.049,2778892.998,2779019.598,2779025.963,2779030.677,2779027.708,2779020.54,2779016.761,2779016.047,2779020.247,2779034.067,2779051.651,2779077.369",
TP2070,,光復北路 (兩側),民權東路,市民大道,台北市,,臺北市政府,20,1,5,,3660,2,,0,,1021231,"305948.309,306016.667,306083.001,306152.081,306174.954,306225.018,306275.515,306272.873,306270.027,306294.532,306294.618,306294.56,306305.179,306237.824,306167.96,306138.792,306092.769,306023.091,305989.929,305974.492,305959.199,305948.613","2772735.702,2772329.686,2771950.467,2771836.771,2771770.848,2771619.634,2771584.064,2771221.289,2770907.915,2770911.782,2770939.807,2771051.793,2771584.519,2771621.791,2771827.532,2771878.476,2771955.049,2772362.389,2772551.001,2772649.521,2772737.408,2772735.482",
TP2071,,光復北路190巷 (北側),健康路15巷,光復北路,台北市,,臺北市政府,12,1,5,,291,2,,0,,1021231,"305790.279,306080.577","2771928.443,2771950.9",
TP2072,,光復北路230巷 (南側),健康路15巷,光復北路,台北市,,臺北市政府,10,1,5,,245,2,,0,,1021231,"305802.35,306049.744","2772110.374,2772112.716",
TP2073,,光復南路(西側),忠孝東路4段,仁愛路4段,台北市,,臺北市政府,30,1,5,,353.36,2,,0,,1021231,"306260.802,306249.339","2770452.954,2770099.779",
TP2074,,向陽路(東西側),南港路2段,忠孝東路7段,台北市,,臺北市政府,30,1,5,,865.52,2,,0,,1021231,"309954.887,309956.576,309966.942,309986.972,310007.063,310083.769,310108.168,310031.366,310051.049,310059.856","2771942.666,2771925.726,2771908.824,2771897.281,2771894.489,2771545.905,2771550.333,2771897.808,2771919.162,2771935.595",
TP2075,,安西街(東側),延平北路2段272巷,涼州街,台北市,,臺北市政府,8,1,5,,158,2,,0,,1021231,"301432.563,301448.287","2772747.288,2772590.723",
TP2076,,安和路1段 (西側),敦化南路,仁愛路,台北市,,臺北市政府,30,1,5,,323,2,,0,,1021231,"305414.323,305607.558,305611.74","2770312.806,2770117.311,2770106.363",
TP2077,,安和路1段 (兩側),仁愛路,和平東路3段,台北市,,臺北市政府,30,1,5,,3820,2,,0,,1021231,"305524.66,305468.227,305475.297,305493.41,305588.095,305735.543,305737.357,305740.377,305619.517,305649.796,305741.551,305769.465,305762.009,305753.73,305759.551,305759.923,305760.92,305760.006,305752.542,305663.923,305550.345,305501.649,305490.477,305507.465,305543.03","2768614.082,2768916.469,2768989.826,2769027.56,2769121.765,2769269.576,2769294.949,2769890.669,2770055.22,2770054.014,2769924.236,2769884.584,2769634.441,2769585.78,2769568.967,2769552.132,2769406.588,2769333.81,2769258.79,2769162.393,2769048.616,2768986.831,2768929.741,2768871.768,2768613.603",
TP2078,,成功路1段(東西側),南港路,成功橋,台北市,,臺北市政府,15,1,5,,752,2,,0,,1021231,"309846.604,309773.171,309775.742,309786.448,309795.162,309785.558,309784.039,309802.454,309856.286","2771946.511,2772263.762,2772298.887,2772319.537,2772311.046,2772292.284,2772270.456,2772189.676,2771947.55",
TP2079,,成功路2段(西側),新明路,南京東路6段,台北市,,臺北市政府,30,1,5,,233.5,2,,0,,1021231,"309642.538,309617.876,309605.397,309587.223,309492.44","2772626.29,2772705.493,2772721.389,2772724.19,2772664.626",
TP2080,,成功路4段223巷口,成功路4段,成功路4段223巷6弄,台北市,,臺北市政府,6,1,5,,55,2,,0,,1021231,"310177.587,310188.838","2775256.189,2775198.306",
TP2081,,行忠路(行愛路東側),行愛路,行忠路66巷,台北市,,臺北市政府,20,1,5,,167,2,,0,,1021231,"308396.129,308549.499","2773226.139,2773293.036",
TP2082,,行善路(西北側),新湖路1段338巷,金豐街,台北市,,臺北市政府,25,1,5,,405,2,,0,,1021231,"308981.18,309013.659,309046.609,309072.219,309086.033,309087.377,309083.397","2772856.695,2772905.352,2772985.137,2773082.059,2773130.636,2773193.004,2773250.033",
TP2083,,行善路(兩側),舊宗路1段,行善路231巷,台北市,,臺北市政府,25,1,5,,393,2,,0,,1021231,"308569.728,308770.407#308684.826,308786.76","2772458.593,2772623.614#2772511.259,2772598.319",
